business_name,street_address,st_num,st_name,city,zip_code,area_code,exchange_code,line_number
Del Taco,2401 S Azusa Ave,2401,S Azusa Ave,West Covina,91792,323,721,7207
Pizza Hut,2405 S Vermont Ave,2405,S Vermont Ave,Los Angeles,90007,323,753,8800
Subway,2408 S Barrington Ave,2408,S Barrington Ave,Los Angeles,90064,310,674,3588
El Merendero Restaurant,242 S Garey Ave,242,S Garey Ave,Pomona,91766,909,620,4503
Burger King,24201 Valencia Blvd,24201,Valencia Blvd,Valencia,91355,626,655,7828
Subway,24223 Crenshaw Blvd,24223,Crenshaw Blvd,Torrance,90505,323,293,7771
McDonald's,2427 E Avenue S,2427,E Avenue S,Palmdale,93550,562,923,0313
Subway,2427 S Azusa Ave,2427,S Azusa Ave,West Covina,91792,310,549,7198
Little Caesar's Pizza,243 W Carson St,243,W Carson St,Carson,90745,310,834,1223
Jack in the Box,2443 W Avenue I,2443,W Avenue I,Lancaster,93535,323,936,7709
Jack in the Box,2443 W Avenue I,2443,W Avenue I,Lancaster,93536,562,699,2684
Tom's Jr,245 E El Segundo Blvd,245,E El Segundo Blvd,Los Angeles,90061,323,756,1097
Yoshinoya Beef Bowl,2460 S Atlantic Blvd,2460,S Atlantic Blvd,Commerce,90040,310,215,9674
Jack in the Box,248 W Huntington Dr,248,W Huntington Dr,Monrovia,91016,661,269,2635
El Pollo Loco,24805 Pico Canyon Rd,24805,Pico Canyon Rd,Newhall,91321,323,295,8122
Jack in the Box,24820 Pico Canyon Rd,24820,Pico Canyon Rd,Santa Clara,91381,562,402,4110
Yoshinoya Beef Bowl,2500 N Pasadena Ave,2500,N Pasadena Ave,Los Angeles,90031,818,894,9108
El Pollo Loco,2501 E Slauson Ave,2501,E Slauson Ave,Huntington Park,90255,310,412,0303
Jack in the Box,2511 N San Fernando Blvd,2511,N San Fernando Blvd,Burbank,91504,562,923,1934
Burger King,2511 S San Pedro St,2511,S San Pedro St,Los Angeles,90011,213,296,1159
Jack in the Box,2511 S Vermont Ave,2511,S Vermont Ave,Los Angeles,90007,760,245,5073
La Pizza Loca,252 E Martin Luther King Jr,252,E Martin Luther King Jr,Los Angeles,90011,323,589,9150
Jack in the Box,2521 N Pasadena Ave,2521,N Pasadena Ave,Los Angeles,90031,310,644,3584
Fred Down Home Burger,2524 W Slauson Ave,2524,W Slauson Ave,Los Angeles,90043,323,298,7762
El Pollo Loco,2525 Long Beach Blvd,2525,Long Beach Blvd,Long Beach,90806,818,895,1680
El Pollo Loco,2528 W Commonwealth Ave,2528,W Commonwealth Ave,Alhambra,91803,626,914,3344
Everytable,253 E Compton Blvd,253,E Compton Blvd,Compton,90220,323,458,6979
Jack in the Box,2531 W Valley Blvd,2531,W Valley Blvd,Alhambra,91803,562,691,1945
Pizza Hut,2542 W Temple St,2542,W Temple St,Los Angeles,90026,818,352,8868
Jack in the Box,2548 S Azusa Ave,2548,S Azusa Ave,West Covina,91792,562,420,9971
Fair Oaks Burger,2560 Fair Oaks Ave,2560,Fair Oaks Ave,Altadena,91001,626,398,3630
Subway,257 N Rosemead Blvd,257,N Rosemead Blvd,Pasadena,91107,818,884,0919
McDonald's,2584 Slauson Ave,2584,Slauson Ave,Huntington Park,90255,562,420,3854
McDonald's,2599 Cherry Ave,2599,Cherry Ave,Signal Hill,90755,562,424,8500
Honey's Kettle Fried Chicken,2600 E Alondra Blvd,2600,E Alondra Blvd,Compton,90221,310,638,7871
Jack in the Box,2601 E Slausin Ave,2601,E Slausin Ave,Huntington Park,90255,818,763,3818
Burger King,2606 E Palmdale Blvd,2606,E Palmdale Blvd,Palmdale,93551,626,357,6662
Pizza Moon,2619 S Western Ave,2619,S Western Ave,Los Angeles,90018,323,733,2222
El Pollo Loco,262 S Rosemead Blvd,262,S Rosemead Blvd,Pasadena,91107,323,265,0179
Domino's Pizza,26500 W Agoura Rd,26500,W Agoura Rd,Calabasas,91302,310,513,8040
Jack in the Box,26510 Agoura Rd,26510,Agoura Rd,Calabasas,91302,323,227,9759
Yoshinoya Beef Bowl,2667 E Florence Ave,2667,E Florence Ave,Huntington Park,90255,310,677,9543
McDonald's,2667 Slauson Blvd,2667,Slauson Blvd,Huntington Park,90255,323,754,7738
Kentucky Fried Chicken,26715 Western Ave,26715,Western Ave,Lomita,90717,323,221,0478
El Pollo Loco,26930 Sierra Hwy,26930,Sierra Hwy,Santa Clarita,91321,909,860,2127
Jack in the Box,2705 Pacific Coast Hwy,2705,Pacific Coast Hwy,Torrance,90505,909,260,2122
Bobo's Hamburgers,2709 Firestone Blvd,2709,Firestone Blvd,South Gate,90280,323,856,2020
Dominguez Pizza,2713 E Carson St,2713,E Carson St,Long Beach,90810,310,835,5097
El Pollo Loco,2727 E Carson St,2727,E Carson St,Lakewood,90712,310,645,2080
El Pollo Loco,2727 E Carson St,2727,E Carson St,Lakewood,90712,310,674,8110
Jack in the Box,2760 Cabrillo Ave,2760,Cabrillo Ave,Torrance,90501,323,780,9909
Jack in the Box,2775 S Reservior St,2775,S Reservior St,Pomona,91766,562,776,6038
Subway,2782 W Imperial Hwy,2782,W Imperial Hwy,Inglewood,90303,626,280,2240
Incredible Cafe Express,2787 E Del Amo Blvd,2787,E Del Amo Blvd,Rancho Dominguez,90221,310,603,1245
Subway,2795 W Avenue L,2795,W Avenue L,Lancaster,93536,323,755,7200
Pizza Hut,27984 Seco Canyon Rd,27984,Seco Canyon Rd,Santa Clarita,91350,626,284,8200
Subway,2800 E 1st St,2800,E 1st St,Los Angeles,90033,323,937,0517
Lucky Boy Grill,2800 E Del Amo Blvd,2800,E Del Amo Blvd,Carson,90746,310,637,1164
El Pollo Loco,2801 Crenshaw Blvd,2801,Crenshaw Blvd,Los Angeles,90016,818,891,8383
Kentucky Fried Chicken,2801 N Broadway,2801,N Broadway,Los Angeles,90031,310,670,4050
Tam's Burgers,2801 S Central Ave,2801,S Central Ave,Los Angeles,90011,323,234,5630
Kentucky Fried Chicken,2801 W Olympic Blvd,2801,W Olympic Blvd,Los Angeles,90006,323,268,1197
Domino's Pizza,2803 S Figueroa St,2803,S Figueroa St,Los Angeles,90007,626,791,9285
Kentucky Fried Chicken,2809 S Figueroa St,2809,S Figueroa St,Los Angeles,90007,310,670,7947
Domino's Pizza,2815 S Robertson Blvd,2815,S Robertson Blvd,Los Angeles,90034,661,943,2456
Dino's Burgers,2817 N Main St,2817,N Main St,Los Angeles,90031,323,223,1843
Subway,2817 S Crenshaw Blvd,2817,S Crenshaw Blvd,Los Angeles,90016,626,282,1401
Yoshinoya Beef Bowl,2850 Crenshaw Blvd,2850,Crenshaw Blvd,Los Angeles,90016,626,330,9820
Subway,288 E Live Oak Ave,288,E Live Oak Ave,Arcadia,91006,213,388,4300
Subway,289 Atlantic Ave,289,Atlantic Ave,Los Angeles,90022,323,820,9629
El Pollo Loco,28901 Western Ave,28901,Western Ave,Rancho Palos Verdes,90275,626,289,9882
Yoshinoya Beef Bowl,2897 W Olympic Blvd,2897,W Olympic Blvd,Los Angeles,90006,323,726,6250
Burger King,290 E Compton Blvd,290,E Compton Blvd,Compton,90221,323,782,0191
Jack in the Box,2921 Figueroa St,2921,Figueroa St,Los Angeles,90007,818,352,1881
La Pizza Loca,2924 Cesar Chavez Ave,2924,Cesar Chavez Ave,Los Angeles,90033,310,677,1117
Pizza Hut,2930 E Colorado Blvd,2930,E Colorado Blvd,Los Angeles,90041,562,988,1711
Jack in the Box,29317 S Western Ave,29317,S Western Ave,Rancho Palos Verdes,90275,310,534,0220
Jack in the Box,29317 S Western Ave,29317,S Western Ave,Rancho Palos Verdes,90732,909,260,2122
Kentucky Fried Chicken,2941 W Imperial Hwy,2941,W Imperial Hwy,Inglewood,90303,818,894,4500
Kentucky Fried Chicken,2970 Bellflower Blvd,2970,Bellflower Blvd,Long Beach,90815,323,464,9637
Carl's Jr,2980 E Workman Ave,2980,E Workman Ave,West Covina,91791,818,894,4341
Jack in the Box,30 N Rosemead Blvd,30,N Rosemead Blvd,Pasadena,91107,626,791,5402
Popeyes Chicken,300 W Compton Blvd,300,W Compton Blvd,Compton,90220,818,774,9581
Popeyes Chicken,300 W Huntington Dr,300,W Huntington Dr,Monrovia,91016,323,779,6847
Subway,300 W Manchester Blvd,300,W Manchester Blvd,Inglewood,90301,310,632,9642
Pizza Hut,300 W Willow St,300,W Willow St,Long Beach,90806,323,820,9629
El Huero,3000 S Figueroa St,3000,S Figueroa St,Los Angeles,90007,213,747,3944
Domino's Pizza,3001 Sepulveda Blvd,3001,Sepulveda Blvd,Manhattan Beach,90266,310,826,3030
El Pollo Loco,3008 S Sepulveda Blvd,3008,S Sepulveda Blvd,Los Angeles,90034,909,592,6832
La Taquiza,3009 S Figueroa St,3009,S Figueroa St,Los Angeles,90007,323,778,2818
Corner Kafe,301 E 7th St,301,E 7th St,Los Angeles,90014,213,622,5202
Subway,3010 San Gabriel Blvd,3010,San Gabriel Blvd,Rosemead,91770,323,938,0407
Wienerschnitzel,3012 Artesia Blvd,3012,Artesia Blvd,Long Beach,90804,818,257,0266
Fresh and Meaty Burgers,3016 W Florence Ave,3016,W Florence Ave,Los Angeles,90043,323,751,2247
Green Apple Grill,302 E 5th St,302,E 5th St,Los Angeles,90013,213,817,6011
Yoshinoya Beef Bowl,3021 S Figueroa St,3021,S Figueroa St,Los Angeles,90007,626,292,1120
Jack in the Box,3032 Palo Verde Ave,3032,Palo Verde Ave,Long Beach,90808,323,263,1450
Burger King,3036 S Crenshaw Blvd,3036,S Crenshaw Blvd,Los Angeles,90016,310,397,5040
Jack in the Box,3038 N San Gabriel Blvd,3038,N San Gabriel Blvd,Rosemead,91770,323,266,1730
Burger King,304 W Century Blvd,304,W Century Blvd,Los Angeles,90003,661,948,4417
Chinatown Express,304 W Florence Ave,304,W Florence Ave,Los Angeles,90003,323,778,0239
Subway,3041 W Avenue K,3041,W Avenue K,Lancaster,93536,562,591,0033
Burger King,3045 Rancho Vista Blvd,3045,Rancho Vista Blvd,Palmdale,93551,818,780,4176
Fabulous Grill,305 E Carson St,305,E Carson St,Carson,90745,310,970,1944
El Pollo Loco,3051 Rancho Vista Blvd,3051,Rancho Vista Blvd,Palmdale,93551,310,632,7446
El Pollo Loco,3070 N San Fernando Rd,3070,N San Fernando Rd,Los Angeles,90065,661,222,7150
Louis Burgers,308 E Compton Blvd,308,E Compton Blvd,Compton,90220,310,637,5263
Subway,308 S Broadway,308,S Broadway,Los Angeles,90013,310,518,6281
Yoshinoya Beef Bowl,3081 N San Fernando Rd,3081,N San Fernando Rd,Los Angeles,90065,323,258,4142
Kentucky Fried Chicken,3100 E Gage Ave,3100,E Gage Ave,Huntington Park,90255,310,532,2970
Subway,3105 N San Fernando Rd,3105,N San Fernando Rd,Los Angeles,90065,818,571,8625
Jack in the Box,3107 W Manchester Blvd,3107,W Manchester Blvd,Inglewood,90305,323,263,1450
Pizza Hut,3109 W Rosecrans Ave,3109,W Rosecrans Ave,Hawthorne,90250,818,505,8000
Subway,3112 Glendale Blvd,3112,Glendale Blvd,Los Angeles,90039,213,626,1605
Subway,3113 4th Ave,3113,4th Ave,Los Angeles,90018,562,427,7610
Daily Donuts House,312 W Compton Blvd,312,W Compton Blvd,Compton,90220,310,638,9630
Alma's Cookies & Company Restaurant,312 W Compton Blvd,312,W Compton Blvd,Compton,90220,424,381,4410
El Pollo Loco,3125 W Century Blvd,3125,W Century Blvd,Inglewood,90301,818,990,7655
Subway,3126 E Florence Ave,3126,E Florence Ave,Huntington Park,90255,818,906,3376
Subway,3127-A Baldwin Park Blvd,3127,Baldwin Park Blvd,Baldwin Park,91706,818,506,7870
Jack in the Box,314 San Fernando Mission Blvd,314,San Fernando Mission Blvd,San Fernando,91340,562,868,1242
Broadway Food Corner,315 W 5th St,315,W 5th St,Los Angeles,90013,213,448,9787
Yoshinoya Beef Bowl,317 San Fernando Mission Blvd,317,San Fernando Mission Blvd,San Fernando,91340,562,801,8333
Pizza Hut,3176 Florence Ave,3176,Florence Ave,Huntington Park,90255,661,948,8993
El Pollo Loco,31783 Castaic Rd,31783,Castaic Rd,Castaic,91384,661,274,0463
Subway,3183 Wilshire Blvd,3183,Wilshire Blvd,Los Angeles,90010,661,940,5136
Jack in the Box,3188 Baldwin Park Blvd,3188,Baldwin Park Blvd,Baldwin Park,91706,310,673,5025
Jack in the Box,319 E Albertoni St,319,E Albertoni St,Carson,90746,818,313,9459
Kentucky Fried Chicken,320 N Soto St,320,N Soto St,Los Angeles,90033,323,585,1284
Subway,321 W Willow St,321,W Willow St,Long Beach,90806,626,446,5464
Carl's Jr,3215 N Broadway Ave,3215,N Broadway Ave,Los Angeles,90031,323,766,8290
Cypress Best Burgers,3240 N Figueroa St,3240,N Figueroa St,Los Angeles,90065,323,223,1505
Pizza Hut,3255 Tweedy Blvd,3255,Tweedy Blvd,South Gate,90280,562,927,4090
Popeyes Chicken,3268 W Slauson Ave,3268,W Slauson Ave,Los Angeles,90043,310,549,3271
Subway,3274 W Slauson Ave,3274,W Slauson Ave,Los Angeles,90043,213,626,0560
El Pollo Loco,330 N Alvarado St,330,N Alvarado St,Los Angeles,90026,323,732,5626
Subway,3300 S Central Ave,3300,S Central Ave,Los Angeles,90011,562,425,6835
Pizza Hut,331 N Citrus Ave,331,N Citrus Ave,Azusa,91702,626,445,5599
Pizza Hut,3311 W Magnolia Blvd,3311,W Magnolia Blvd,Burbank,91505,562,501,9854
La Pizza Loca,3320 Tweedy Blvd,3320,Tweedy Blvd,South Gate,90280,562,408,0023
Subway,3323 Wilshire Blvd,3323,Wilshire Blvd,Los Angeles,90010,626,285,1414
El Pollo Loco,3350 W Vernon Ave,3350,W Vernon Ave,Los Angeles,90008,562,602,1550
Bobo's Hamburgers,3390 E Imperial Hwy,3390,E Imperial Hwy,Lynwood,90262,310,637,1191
Jack in the Box,3399 E Pacific Coast Hwy,3399,E Pacific Coast Hwy,Signal Hills,90755,310,217,0882
Kentucky Fried Chicken,340 N Western Ave,340,N Western Ave,Los Angeles,90004,909,623,2549
Pizza Hut,3400 E First St,3400,E First St,Los Angeles,90063,562,866,6611
Subway,3400 Long Beach Blvd,3400,Long Beach Blvd,Long Beach,90807,661,949,8567
Domino's Pizza,3401-7 Platt Ave,3401,Platt Ave,West Hills,91307,562,861,3030
Master Burger,3420 W Slauson Ave,3420,W Slauson Ave,Los Angeles,90043,323,293,0890
El Pollo Loco,3425 E Anaheim St,3425,E Anaheim St,Long Beach,90804,661,299,2236
El Pollo Loco,3425 E Anaheim St,3425,E Anaheim St,Long Beach,90814,626,917,9407
Vallarta Supermarket,3425 Whittier Blvd,3425,Whittier Blvd,Los Angeles,90023,818,253,5921
Kentucky Fried Chicken,345 W Sierra Madre Blvd,345,W Sierra Madre Blvd,Sierra Madre,91024,323,936,8079
El Pollo Loco,3463 Artesia Blvd,3463,Artesia Blvd,Long Beach,90805,562,862,3139
Rally's Hamburgers,3490 E Artesia Blvd,3490,E Artesia Blvd,Long Beach,90745,562,422,6663
Rally's Hamburger,3490 E Artesia Blvd,3490,E Artesia Blvd,Long Beach,90805,562,422,6663
Pizza Hut,3498 E 7th St,3498,E 7th St,Long Beach,90804,909,599,0444
Pizza Hut,3498 E 7th St,3498,E 7th St,Long Beach,90814,323,265,0800
Burger King,3501 E Whittier Blvd,3501,E Whittier Blvd,Los Angeles,90023,323,779,3684
Jack in the Box,3504 Firestone Blvd,3504,Firestone Blvd,South Gate,90280,818,893,9919
Subway,3504 W Sunset Blvd,3504,W Sunset Blvd,Los Angeles,90026,562,920,9606
Yoshinoya Beef Bowl,3506 Tweedy Blvd,3506,Tweedy Blvd,South Gate,90280,626,449,7065
Del Taco,3510 W Century Blvd,3510,W Century Blvd,Inglewood,90303,818,994,3564
B & R's Old Fashion Burger,3512 W Rosecrans Ave,3512,W Rosecrans Ave,Hawthorne,90250,310,679,4774
Burger King,3520 S Sepulveda Blvd,3520,S Sepulveda Blvd,Los Angeles,90034,818,718,6366
Subway,3522 Tweedy Blvd,3522,Tweedy Blvd,South Gate,90280,661,949,3777
Yoshinoya Beef Bowl,3532 N Peck Rd,3532,N Peck Rd,El Monte,91731,310,450,2004
The Best Burger,3533 S Western Ave,3533,S Western Ave,Los Angeles,90018,323,732,2197
Burger King,354 W Huntington Dr,354,W Huntington Dr,Monrovia,91016,661,942,2477
Subway,3560 S La Cienega Blvd,3560,S La Cienega Blvd,Los Angeles,90016,562,866,6909
Subway,3561 W Century Blvd,3561,W Century Blvd,Inglewood,90303,323,526,1220
Tai Pan Chinese Fast Food,3580 Santa Anita Ave,3580,Santa Anita Ave,El Monte,91731,626,350,1813
Jack in the Box,3600 E 3rd St,3600,E 3rd St,Los Angeles,90063,310,631,6933
Pizza Hut,3601 Martin Luther King Jr Blvd,3601,Martin Luther King Jr Blvd,Lynwood,90262,310,641,1114
Jack in the Box,3605 Atlantic Ave,3605,Atlantic Ave,Long Beach,90807,310,419,8153
Subway,3613 Inglewood Ave,3613,Inglewood Ave,Redondo Beach,90278,310,670,7092
Subway,3628 Martin Luther King Jr Blvd,3628,Martin Luther King Jr Blvd,Lynwood,90262,562,938,7827
Subway,3632 Rosemead Blvd,3632,Rosemead Blvd,Rosemead,91770,310,470,2013
Pizza Hut,3646 Nogales St,3646,Nogales St,West Covina,91792,323,260,7100
Rally's Hamburger,3650 W Martin Luther King Jr Blvd,3650,W Martin Luther King Jr Blvd,Los Angeles,90008,310,219,0013
Cafe Creole,3650 W Martin Luther King Jr Blvd,3650,W Martin Luther King Jr Blvd,Los Angeles,90008,323,389,8355
Wing N Stuff,3650 W Martin Luther King Jr Blvd,3650,W Martin Luther King Jr Blvd,Los Angeles,90008,323,295,2928
Subway,370 E 2nd St,370,E 2nd St,Los Angeles,90012,909,595,9375
Jack in the Box,3700 E Slauson Ave,3700,E Slauson Ave,Maywood,90270,310,802,9041
Del Taco,3705 Robertson Blvd,3705,Robertson Blvd,Culver City,90232,562,402,4350
Jack in the Box,37070 47th St E,37070,47th St E,Palmdale,93552,626,299,1976
Subway,3713 E South St,3713,E South St,Long Beach,90805,310,725,9215
McDonald's,37217 47th St E,37217,47th St E,Palmdale,93550,310,771,8290
Pizza Hut,37244 47th St,37244,47th St,Palmdale,93550,909,396,1600
California Steak & Fries,3745 S La Brea Ave,3745,S La Brea Ave,Los Angeles,90016,323,294,2200
Kentucky Fried Chicken,375 E Mission Blvd,375,E Mission Blvd,Pomona,91766,323,268,1133
Hamburger Dan's,3764 S Normandie Ave,3764,S Normandie Ave,Los Angeles,90007,323,737,1522
Kentucky Fried Chicken,3777 Pacific Coast Hwy,3777,Pacific Coast Hwy,Torrance,90505,213,487,4503
Pizza Hut,37926 47th St E,37926,47th St E,Palmdale,93552,310,329,9900
Ameci Pizza Kitchen,3800 Foothill Blvd,3800,Foothill Blvd,Glendale,91214,818,249,0400
El Pollo Loco,38007 E 47th St,38007,E 47th St,Palmdale,93552,213,748,7616
Rosita's Panaderia and Restaurant,3806 S Western Ave,3806,S Western Ave,Los Angeles,90062,323,733,7978
Vallarta Supermarket,38118 47th St,38118,47th St,Palmdale,93552,661,260,1110
Burger King,38137 47th St,38137,47th St,Palmdale,93552,661,272,4778
Kentucky Fried Chicken,3814 Peck Rd,3814,Peck Rd,El Monte,91732,310,608,1518
Subway,3817 Sepulveda Blvd,3817,Sepulveda Blvd,Culver City,90230,818,893,3368
Piara Pizza,3818 Peck Rd,3818,Peck Rd,El Monte,91732,626,443,4488
Wing Stop,3825 S Crenshaw Blvd,3825,S Crenshaw Blvd,Los Angeles,90008,562,432,9464
Jack in the Box,3830 W Sierra Hwy,3830,W Sierra Hwy,Acton,93510,310,631,7413
Carl's Jr,3832 Peck Rd,3832,Peck Rd,El Monte,91732,562,692,3114
ND's Diner,38335 90th St E,38335,90th St E,Littlerock,93543,661,944,1243
California Cheeseburgers,38335 E 90th St,38335,E 90th St,Littlerock,93543,661,944,1243
Subway,38709 Tierra Subida,38709,Tierra Subida,Palmdale,93551,562,948,3140
Jack in the Box,390 E Ocean Blvd,390,E Ocean Blvd,Long Beach,90806,818,708,3501
Banh Mi Che Cali,3901 N Peck Rd,3901,N Peck Rd,El Monte,91732,626,350,9635
Pizza Hut,3902 Pacific Coast Hwy,3902,Pacific Coast Hwy,Torrance,90505,818,895,0944
Subway,3902 Pacific Coast Hwy,3902,Pacific Coast Hwy,Torrance,90505,818,670,8100
Domino's Pizza,393 Redondo Beach Ave,393,Redondo Beach Ave,Long Beach,90814,562,434,9971
Subway,3939-D Crenshaw Blvd,3939,Crenshaw Blvd,Los Angeles,90008,310,479,7827
Jack in the Box,3940 Redondo Beach Blvd,3940,Redondo Beach Blvd,Torrance,90504,661,254,3330
Burger King,39519 W 10th St,39519,W 10th St,Palmdale,93551,661,722,0340
Yoshinoya Beef Bowl,3959 Wilshire Blvd,3959,Wilshire Blvd,Los Angeles,90010,323,560,8567
Subway,3959 Wilshire Blvd,3959,Wilshire Blvd,Los Angeles,90010,562,777,2249
Pizza Hut,3959 Wilshire Blvd,3959,Wilshire Blvd,Los Angeles,90010,661,259,8983
El Pollo Loco,3959 Wilshire Blvd,3959,Wilshire Blvd,Los Angeles,90010,818,506,7667
Subway,3974 S Figueroa St,3974,S Figueroa St,Los Angeles,90037,213,380,1485
Jack in the Box,3980 E Ocean Blvd,3980,E Ocean Blvd,Long Beach,90803,818,782,1823
Subway,3991 S Western Ave,3991,S Western Ave,Los Angeles,90062,323,951,9266
New Hong Kong Chinese Express,3991 S Western Ave,3991,S Western Ave,Los Angeles,90062,562,349,3109
Pizza King,3993 S Western Ave,3993,S Western Ave,Los Angeles,90062,323,971,4661
Carl's Jr,400 S Glendora Ave,400,S Glendora Ave,West Covina,91790,818,881,8775
LA Trade Technical College Campus Cafeteria,400 W Washington Blvd,400,W Washington Blvd,Los Angeles,90015,213,763,7055
Kentucky Fried Chicken,4001 E Anaheim St,4001,E Anaheim St,Long Beach,90804,626,968,8556
Yoshinoya Beef Bowl,4004 S Vermont Ave,4004,S Vermont Ave,Los Angeles,90037,323,971,4560
Food for Life,401 E 6th St,401,E 6th St,Los Angeles,90014,213,896,0200
Louisiana Famous Fried Chicken,4014 W Washington Blvd,4014,W Washington Blvd,Los Angeles,90018,661,951,8300
Kentucky Fried Chicken,4025 Slauson Ave,4025,Slauson Ave,Maywood,90270,562,428,5459
Big Al's Pizza,40340 E 170th St,40340,E 170th St,Palmdale,93591,661,264,4662
Western Plaza Fish Market,4042 S Western Ave,4042,S Western Ave,Los Angeles,90062,323,296,1892
El Pollo Loco,4058 Tweedy Blvd,4058,Tweedy Blvd,South Gate,90280,626,576,5438
Jack in the Box,4069 W Century Blvd,4069,W Century Blvd,Inglewood,90304,626,918,7569
Subway,4070-A Tweedy Blvd,4070,Tweedy Blvd,South Gate,90280,310,632,6808
El Pollo Loco,408 E Washington Blvd,408,Washington Blvd,Los Angeles,90015,818,763,6592
Cliff's Texas Style Burritos,408 W Alondra Blvd,408,W Alondra Blvd,Compton,90220,310,609,2755
Burger King,4107 W Avenue L,4107,W Avenue L,Lancaster,93536,818,760,0961
Pizza Hut,4110 N Lakewood Blvd,4110,N Lakewood Blvd,Long Beach,90808,818,779,0400
La Canasta Tortilleria,4112 E Whittier Blvd,4112,E Whittier Blvd,Los Angeles,90023,323,269,2562
Tello's Mexican Restaurant,415 Moorpark Ave,415,Moorpark Ave,Agoura Hills,91301,805,523,7640
Kentucky Fried Chicken,415 S Gaffey St,415,S Gaffey St,San Pedro,90731,310,676,5085
Tam's Brother Burger,4150 S Broadway,4150,S Broadway,Los Angeles,90037,323,231,3317
Joyce Chicken and Fish,4166 S Broadway,4166,S Broadway,Los Angeles,90037,323,325,7271
Jack in the Box,4170 Lakewood Blvd,4170,Lakewood Blvd,Long Beach,90808,323,235,4345
Yoshinoya Beef Bowl,420 N Azusa Ave,420,N Azusa Ave,Covina,91722,213,385,9031
Yoshinoya Beef Bowl,4202 Beverly Blvd,4202,Beverly Blvd,Los Angeles,90004,562,928,1603
Domino's Pizza,42056 W 50th St,42056,W 50th St,Lancaster,93536,818,880,0550
Pizza Hut,4207 Beverly Blvd,4207,Beverly Blvd,Los Angeles,90004,310,373,1616
Pizza Hut,4209 Cesar Chavez Blvd,4209,Cesar Chavez Blvd,Los Angeles,90063,310,761,1000
Del Taco,421 W Palmdale Blvd,421,W Palmdale Blvd,Palmdale,93551,562,229,9400
Jack in the Box,4210 S Crenshaw Blvd,4210,S Crenshaw Blvd,Los Angeles,90043,310,470,2013
Subway,4210 Woodruff Ave,4210,Woodruff Ave,Lakewood,90713,562,989,9733
Jack in the Box,4216 N Rosemead Blvd,4216,N Rosemead Blvd,Rosemead,91770,562,923,6690
Domino's Pizza,4227 Atlantic Ave,4227,Atlantic Ave,Long Beach,90807,323,255,1080
Jack in the Box,4228 N Figueroa St,4228,N Figueroa St,Los Angeles,90065,562,424,9050
Carl's Jr,424 W Los Feliz Rd,424,W Los Feliz Rd,Glendale,91204,818,884,0783
Subway,425 S Los Angeles St,425,S Los Angeles St,Los Angeles,90013,323,567,7009
Jack in the Box,4255 E Cesar Chavez St Ave,4255,E Cesar Chavez St Ave,Los Angeles,90063,818,760,4199
El Pollo Loco,426 N La Brea Ave,426,N La Brea Ave,Inglewood,90302,661,285,0402
Subway,4267 Atlantic Ave,4267,Atlantic Ave,Long Beach,90805,213,614,8888
Subway,4267 Atlantic Ave,4267,Atlantic Ave,Long Beach,90807,323,650,2888
Domino's Pizza,4285 W El Segundo Blvd,4285,W El Segundo Blvd,Hawthorne,90250,562,861,3030
Jack in the Box,4290 E Olympic Blvd,4290,E Olympic Blvd,Los Angeles,90023,626,570,6131
Pizza Hut,4329 N Figueroa St,4329,N Figueroa St,Highland Park,90065,818,509,9300
Domino's Pizza,433 N Glenoaks Blvd,433,N Glenoaks Blvd,Burbank,91502,323,587,0300
Primo Burgers,43369 10th St,43369,10th St,Lancaster,93534,661,267,0023
Kentucky Fried Chicken,4339 E Imperial Hwy,4339,E Imperial Hwy,Lynwood,90262,626,794,1159
Subway,4343 E Anaheim St,4343,E Anaheim St,Long Beach,90804,310,608,0688
Subway,435 W Anaheim St,435,W Anaheim St,Long Beach,90813,562,926,1705
Burger King,4350 W Century Blvd,4350,W Century Blvd,Inglewood,90304,310,963,6533
Pizza Hut,4351 S Central Ave,4351,S Central Ave,Los Angeles,90011,626,917,6464
Jack in the Box,4353 S Figueroa St,4353,S Figueroa St,Los Angeles,90037,661,945,4244
Kentucky Fried Chicken,43559 10th St W,43559,10th St W,Lancaster,93534,818,881,2131
Pizza Hut,4356 Leimert Blvd,4356,Leimert Blvd,Los Angeles,90008,562,422,9005
Burger King,43627 N 15th St W,43627,N 15th St W,Lancaster,93534,661,272,9126
Jack in the Box,43628 10th St W,43628,10th St W,Lancaster,93534,213,748,7177
Master Burger,4366 W Adams Blvd,4366,W Adams Blvd,Los Angeles,90018,323,295,1940
Sharkey's Woodfired Mexican Grill,4371 Glencoe Ave,4371,Glencoe Ave,Marina Del Rey,90292,310,301,4441
Vallarta Supermarket,440 E Palmdale Blvd,440,E Palmdale Blvd,Palmdale,93550,818,526,0081
Louisiana Fried Chicken & Chinese Food,4400 S Central Ave,4400,S Central Ave,Los Angeles,90011,323,233,8728
El Pollo Loco,4405 Avalon Blvd,4405,Avalon Blvd,Los Angeles,90011,323,722,0420
Jack in the Box,4407 S Central Ave,4407,S Central Ave,Los Angeles,90011,323,789,6791
Yoshinoya Beef Bowl,4407 Slauson Ave,4407,Slauson Ave,Maywood,90270,909,895,0549
Pizza Hut,4408 Vineland Ave,4408,Vineland Ave,North Hollywood,91602,626,398,3700
Pizza King,441 E El Segundo Blvd,441,E El Segundo Blvd,Los Angeles,90061,323,757,0260
