business_name,street_address,st_num,st_name,city,zip_code,area_code,exchange_code,line_number
Jack in the Box,17744 Chatsworth St,17744,Chatsworth St,Granada Hills,91344,323,569,2335
Yoshinoya Beef Bowl,1777 E Olympic Blvd,1777,E Olympic Blvd,Los Angeles,90021,626,401,0132
Jack in the Box,17916 Hawthorne Blvd,17916,Hawthorne Blvd,Torrance,90504,310,371,8306
Louisiana Hometown Seafood Fish and Taco,17944 S Avalon Blvd,17944,S Avalon Blvd,Carson,90746,310,538,5889
Jack in the Box,1799 E Avenue J,1799,E Avenue J,Lancaster,93535,626,444,8029
Vallarta Supermarket,1801 W Avenue I,1801,W Avenue I,Lancaster,93534,818,365,8603
Domino's Pizza,1802 E Huntington Dr,1802,E Huntington Dr,Duarte,91010,818,999,3030
Yoshinoya Beef Bowl,1802 E Slauson Ave,1802,E Slauson Ave,Los Angeles,90058,310,835,9043
Carl's Jr,18025 Ventura Blvd,18025,Ventura Blvd,Tarzana,91316,626,331,2064
Vallarta Supermarket,1803 E Palmdale Blvd,1803,E Palmdale Blvd,Palmdale,93550,661,951,0233
Carl's Jr,18090 W Chatsworth,18090,W Chatsworth,Granada Hills,91344,909,596,2814
Burger King,181 S Vermont Ave,181,S Vermont Ave,Los Angeles,90004,818,883,3018
Subway,1810 W Slauson Ave,1810,W Slauson Ave,Los Angeles,90047,310,397,1515
Subway,1811 Nordhoff St,1811,Nordhoff St,Northridge,91330,626,279,6307
The Arbor Grill,1811 Nordhoff St,1811,Nordhoff St,Northridge,91330,818,677,2669
The Marketplace Sierra Center,1811 Nordhoff St,1811,Nordhoff St,Northridge,91330,818,677,2669
The Pub Sports Grill,1811 Nordhoff St,1811,Nordhoff St,Northridge,91330,818,677,2669
Burger King,18111 Nordhoff St,18111,Nordhoff St,Northridge,91330,213,258,2040
Freudian Sip (Arbor Grill Market),18111 Nordhoff St,18111,Nordhoff St,Northridge,91330,818,677,2669
Freudian Sip (Building 18),18111 Nordhoff St,18111,Nordhoff St,Northridge,91330,818,677,2669
Freudian Sip (Oviatt Library),18111 Nordhoff St,18111,Nordhoff St,Northridge,91330,818,677,2669
Freudian Sip (Sierra Center),18111 Nordhoff St,18111,Nordhoff St,Northridge,91330,818,677,2669
Freudian Sip (USU),18111 Nordhoff St,18111,Nordhoff St,Northridge,91330,818,677,2669
Freudian Sip Follett Bookstore),18111 Nordhoff St,18111,Nordhoff St,Northridge,91330,818,677,2669
McDonald's,18145 Crenshaw Blvd,18145,Crenshaw Blvd,Torrance,90504,323,779,7322
Del Taco,1818 Durfee Ave,1818,Durfee Ave,South El Monte,91733,310,839,8897
El Arka Bakery & Restaurant,1818 W 54th St,1818,W 54th St,Los Angeles,90062,323,290,3989
Subway,1821 E Cesar Chavez Ave,1821,E Cesar Chavez Ave,Los Angeles,90033,213,625,2224
Subway,1821 W Avenue I,1821,W Avenue I,Lancaster,93534,323,720,1573
Subway,1823-A E Palmdale Blvd,1823,E Palmdale Blvd,Palmdale,93550,310,938,8010
Carl's Jr,18237 Colima Rd,18237,Colima Rd,Rowland Heights,91748,805,745,7630
Paradise Pastry & Cafe,1825 W Glenoaks Blvd,1825,W Glenoaks Blvd,Glendale,91201,800,930,1777
Yoshinoya Beef Bowl,1825 W Redondo Beach Blvd,1825,W Redondo Beach Blvd,Gardena,90249,562,427,5818
Kentucky Fried Chicken,1827 E Avenue J,1827,E Avenue J,Lancaster,93535,626,355,4388
Jack in the Box,18271 Gale Ave,18271,Gale Ave,City of Industry,91748,949,689,2450
Jack in the Box,18299 Pioneer Blvd,18299,Pioneer Blvd,Artesia,90701,323,259,3154
McDonald's,1830 Long Beach Blvd,1830,Long Beach Blvd,Long Beach,90806,562,622,2716
Popeyes Chicken,18300 Van Owen St,18300,Van Owen St,Reseda,91335,310,323,7708
Pizza Hut,18325 Pioneer Blvd,18325,Pioneer Blvd,Artesia,90701,626,854,0022
El Pollo Loco,1833 S La Cienega Blvd,1833,S La Cienega Blvd,Los Angeles,90035,562,496,1664
Yoshinoya Beef Bowl,18389 Colima Rd,18389,Colima Rd,Rowland Heights,91748,323,584,6867
Kentucky Fried Chicken,18401 S Avalon Blvd,18401,S Avalon Blvd,Carson,90746,310,833,5147
Wienerschnitzel,18420 Nordhoff St,18420,Nordhoff St,Northridge,91325,818,257,0266
Little Caesar's Pizza,1846 Lomita Blvd,1846,Lomita Blvd,Lomita,90717,310,534,4888
Wendy's,18507 Devonshire St,18507,Devonshire St,Northridge,91324,818,729,8320
Pizza Hut,1851 W Slauson Ave,1851,W Slauson Ave,Los Angeles,90047,323,267,0300
Pizza Hut,18520 Soledad Canyon Rd,18520,Soledad Canyon Rd,Canyon Country,91351,818,552,2277
Jack in the Box,18525 Via Princessa,18525,Via Princessa,Santa Clarita,91387,626,332,1995
Pizza King,1855 W Manchester Ave,1855,W Manchester Ave,Los Angeles,90047,323,299,9838
Vallarta Supermarket,18571 Soledad Canyon Blvd,18571,Soledad Canyon Blvd,Canyon Country,91351,661,273,1120
Domino's Pizza,1865 Lincoln Blvd,1865,Lincoln Blvd,Santa Monica,90404,310,516,9800
Subway,1865 Lincoln Blvd,1865,Lincoln Blvd,Santa Monica,90404,310,398,1515
Carl's Jr,18756 Sherman Way,18756,Sherman Way,Reseda,91335,818,768,9227
